Order,Position_x,Position_y,Position_z,Owner_ID,Distance_to_Camera,Connected_Vertices,Bottom_Left_x,Bottom_Left_y,Bottom_Left_z,Top_Left_x,Top_Left_y,Top_Left_z,Top_Right_x,Top_Right_y,Top_Right_z,Bottom_Right_x,Bottom_Right_y,Bottom_Right_z,Frustum_Apex_x,Frustum_Apex_y,Frustum_Apex_z,Is_Visible,Out_Of_Frame,BehindAMesh
0,0.5,-1.59,1.08,-10494,4.090112,2 3 1 6,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
1,-0.5,-1.59,1.08,-10494,3.341387,0 3 6 7 5,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
2,0.5,-0.59,1.08,-10494,3.73139,0 3 4 5 6,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
3,-0.5,-0.59,1.08,-10494,2.891214,0 2 1 5,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
4,0.5,-0.59,0.07999998,-10494,4.240295,2 5 6 7,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
5,-0.5,-0.59,0.07999998,-10494,3.523628,2 4 3 7 1,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
6,0.5,-1.59,0.07999998,-10494,4.559151,4 7 0 1 2,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
7,-0.5,-1.59,0.07999998,-10494,3.9015,4 6 5 1,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
8,1.167827,-0.2878271,-0.2878271,-9518,4.934654,55 178 34 250 91,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
9,1.167827,-0.2878271,0.2878271,-9518,4.620359,49 52 82 286,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
10,0.5921729,-0.2878271,-0.2878271,-9518,4.487163,37 40 100 358,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
11,0.5921729,-0.2878271,0.2878271,-9518,4.139027,196 46 43 94 322,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
12,1.168835,0.2879004,-0.2888354,-9518,4.899429,79 214 58 88 376,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
13,1.168835,0.2879004,0.2888354,-9518,4.581571,61 64 85 268,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
14,0.5911646,0.2879004,-0.2888354,-9518,4.446735,73 76 103 340,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
15,0.5911646,0.2879004,0.2888354,-9518,4.093878,67 232 70 97 304,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
16,0.88,-0.5,0,-9518,4.568962,186 117 108 111 114 204,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
17,0.88,0.5,-4.768371E-09,-9518,4.499962,222 129 120 123 240 126,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
18,1.38,-4.764297E-09,-1.639128E-07,-9518,4.921851,132 135 258 276 141 138,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
19,0.8800001,-9.537071E-09,0.5,-9518,4.23723,144 147 294 312 153 150,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
20,0.38,4.764297E-09,0,-9518,4.111017,330 156 165 162 159 348,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
21,0.8799998,3.274181E-13,-0.5,-9518,4.813622,168 171 366 384 177 174,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
22,0.8799999,-0.3525147,-0.3525147,-9518,4.756119,36 106 193 39 373 166,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
23,0.5274854,-0.3525147,0,-9518,4.26612,189 109 42 45 154 337,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
24,0.8800001,-0.3525147,0.3525147,-9518,4.352315,112 211 48 51 301 142,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
25,1.232515,-0.3525147,3.814697E-08,-9518,4.833583,57 115 207 54 265 130,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
26,1.233691,0.3527881,-1.144409E-07,-9518,4.788719,60 118 229 63 136 283,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
27,0.8800001,0.3527881,0.3536914,-9518,4.300719,225 66 121 69 148 319,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
28,0.5263086,0.3527881,0,-9518,4.213175,72 124 247 75 160 355,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
29,0.8799998,0.3527881,-0.3536914,-9518,4.710253,81 127 243 78 172 391,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
