Order,Position_x,Position_y,Position_z,Owner_ID,Distance_to_Camera,Bottom_Left_x,Bottom_Left_y,Bottom_Left_z,Top_Left_x,Top_Left_y,Top_Left_z,Top_Right_x,Top_Right_y,Top_Right_z,Bottom_Right_x,Bottom_Right_y,Bottom_Right_z,Frustum_Apex_x,Frustum_Apex_y,Frustum_Apex_z,Is_Visible,Out_Of_Frame,BehindAMesh,Predicted_Is_Visible,Predicted_BehindAMesh,Predicted_Out_Of_Frame
0,-1.497173,-0.2878271,0.8901728,-4724,3.304552,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
1,-1.497173,-0.2878271,1.465827,-4724,3.618892,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
2,-2.072827,-0.2878271,0.8901728,-4724,2.846581,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
3,-2.072827,-0.2878271,1.465827,-4724,3.206141,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
4,-1.496165,0.2879004,0.8891646,-4724,3.190206,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
5,-1.496165,0.2879004,1.466835,-4724,3.515872,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
6,-2.073835,0.2879004,0.8891646,-4724,2.711182,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
7,-2.073835,0.2879004,1.466835,-4724,3.087791,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
8,-1.785,-0.5,1.178,-4724,3.297835,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
9,-1.785,0.5,1.178,-4724,3.09544,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
